1,AO,NAO,PNA,EPO,NINO34,NINO12,NINO3,NINO4
2000-01-01,1.687,293.380,-389.080,92.470,-1.879070,-0.8487540,-2.063082,-0.8771357
2000-01-02,2.279,277.370,-382.920,66.510,-1.953721,-0.6189643,-2.131313,-0.9767438
2000-01-03,2.505,291.940,-256.800,107.300,-1.966981,-0.2739158,-2.129039,-0.9951562
2000-01-04,2.008,256.340,-167.870,165.700,-1.930683,-0.3253734,-2.027016,-1.050517
2000-01-05,1.631,182.880,-92.080,120.180,-1.873798,-0.4415365,-1.863247,-1.078985
2000-01-06,1.445,225.200,-110.490,163.860,-1.797903,-0.6041078,-1.856016,-1.107847
2000-01-07,1.287,242.560,-116.450,214.790,-1.782562,-0.5657068,-1.825694,-1.256395
2000-01-08,0.967,193.680,-207.340,289.190,-1.744137,-0.4965801,-1.759503,-1.297416
2000-01-09,0.493,153.780,-327.140,326.620,-1.758070,-0.5695320,-1.736115,-1.247664
2000-01-10,0.508,138.030,-340.660,299.930,-1.779864,-0.6320641,-1.649749,-1.223500
2000-01-11,1.091,62.320,-302.650,255.300,-1.841797,-0.5013265,-1.606295,-1.283956
2000-01-12,1.180,-70.170,-337.050,138.060,-1.941495,-0.4508626,-1.703876,-1.251459
2000-01-13,1.257,-197.630,-317.150,-7.690,-1.974910,-0.4256748,-1.792516,-1.208305
2000-01-14,1.678,-227.500,-279.560,-51.970,-1.955050,-0.5426063,-1.772851,-1.264148
2000-01-15,1.813,-244.620,-336.080,7.540,-1.879249,-0.8408994,-1.766623,-1.246440
2000-01-16,1.636,-321.260,-343.630,-12.900,-1.936768,-0.6935025,-1.774015,-1.330341
2000-01-17,1.780,-422.360,-317.470,-110.120,-1.794496,-0.5482320,-1.722859,-1.222734
2000-01-18,1.664,-426.030,-294.020,-209.690,-1.703215,-0.6155406,-1.707766,-1.067527
2000-01-19,1.056,-364.520,-257.200,-220.870,-1.725065,-0.7550102,-1.703537,-1.025630
2000-01-20,0.928,-305.380,-156.130,-206.560,-1.749127,-0.7470254,-1.691108,-1.014294
2000-01-21,0.865,-301.720,-85.430,-157.610,-1.745245,-0.9739575,-1.746871,-0.9354146
2000-01-22,0.958,-318.170,-127.960,-130.530,-1.773135,-1.179048,-1.812553,-0.9357241
2000-01-23,1.152,-274.210,-119.650,-149.190,-1.904411,-1.173242,-1.913207,-1.080386
2000-01-24,1.191,-203.510,20.810,-94.800,-1.949560,-1.164528,-1.966625,-1.232559
2000-01-25,1.519,-116.240,192.760,-3.150,-1.835046,-0.9867003,-1.903850,-1.169350
2000-01-26,1.654,-83.910,238.480,92.060,-1.834864,-0.7331402,-1.858031,-1.202658
2000-01-27,1.480,-60.770,236.880,167.890,-1.900199,-0.6054795,-1.752070,-1.281001
2000-01-28,1.034,48.780,253.280,179.530,-1.957818,-0.3383040,-1.752978,-1.323002
2000-01-29,0.540,133.940,208.710,134.330,-1.929900,-0.3711155E-01,-1.539690,-1.389375
2000-01-30,-0.107,125.380,214.430,65.900,-1.851236,0.1619152,-1.319150,-1.433791
